device_name,mac,rssi,location,time_utc,proximity
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:05:52.054199Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:06:07.105433Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:06:22.157739Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:06:37.211968Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:06:52.256180Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:07:07.298300Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T15:07:07.299304Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:07:22.358190Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:07:37.413062Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:07:52.464044Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:08:07.519600Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:08:22.575563Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:08:37.624948Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:08:52.658217Z,Unknown
Unknown,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T15:08:52.659401Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:09:07.710329Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:09:22.766670Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:09:37.807044Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:09:52.901813Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:10:07.956972Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:10:23.014775Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:10:38.081867Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:10:53.135968Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:11:08.195000Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:11:23.250420Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:11:38.293293Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:11:53.347446Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T15:11:53.349268Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:12:08.394685Z,Unknown
Unknown,36:69:3E:D9:99:E5,N/A,ECE_Lab_Test,2025-10-28T15:12:08.395191Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:12:23.442527Z,Unknown
BeatXP Vega Neo,A6:3E:98:B7:27:54,N/A,ECE_Lab_Test,2025-10-28T15:12:23.442527Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:12:38.498877Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:12:53.553132Z,Unknown
Unknown,1B:F3:8A:AB:BB:C9,N/A,ECE_Lab_Test,2025-10-28T15:13:08.588875Z,Unknown
